food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11710000,"Infant formula, NFS",9404,"Formula, prepared from powder",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710030,"Infant formula, Similac, NFS",9404,"Formula, prepared from powder",65,6.9,0.0,6.9,3.6,1.505,1.37,2,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.5,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710051,"Infant formula, Similac Alimentum, ready-to-feed",9402,"Formula, ready-to-feed",67,6.77,0.0,4.4,3.63,1.838,1.8,1,1 fl oz,30.5,20.4,2.1,0.0,1.3,1.1,0.6,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710056,"Infant formula, Similac Alimentum, powder, made with water",9404,"Formula, prepared from powder",67,6.77,0.0,4.4,3.63,1.838,1.8,1,1 fl oz,30.5,20.4,2.1,0.0,1.3,1.1,0.6,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710351,"Infant formula, Similac Advance, ready-to-feed",9402,"Formula, ready-to-feed",66,6.87,0.0,6.87,3.62,1.24,1.37,2,1 fl oz,30.5,20.1,2.1,0.0,2.1,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710357,"Infant formula, Similac Advance, powder, made with tap water",9404,"Formula, prepared from powder",66,6.87,0.0,6.87,3.62,1.24,1.37,2,1 fl oz,30.5,20.1,2.1,0.0,2.1,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710358,"Infant formula, Similac Advance, powder, made with bottled water",9404,"Formula, prepared from powder",66,6.87,0.0,6.87,3.62,1.24,1.37,2,1 fl oz,30.5,20.1,2.1,0.0,2.1,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710359,"Infant formula, Similac Advance, powder, made with baby water",9404,"Formula, prepared from powder",66,6.87,0.0,6.87,3.62,1.24,1.37,2,1 fl oz,30.5,20.1,2.1,0.0,2.1,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710371,"Infant formula, Similac Sensitive, ready-to-feed",9402,"Formula, ready-to-feed",65,6.99,0.0,6.99,3.53,2.298,1.4,2,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710377,"Infant formula, Similac Sensitive, powder, made with tap water",9404,"Formula, prepared from powder",65,6.99,0.0,6.99,3.53,2.298,1.4,2,1 fl oz,30.5,19.8,2.1,0.0,2.1,1.1,0.7,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
