high_risk_food_code,high_risk_food_name,high_risk_category,high_risk_carb_per100g,high_risk_fiber_per100g,high_risk_portion,high_risk_portion_g,high_risk_carb_per_serving,swap_food_code,swap_food_name,swap_category,swap_carb_per100g,swap_fiber_per100g,swap_portion,swap_portion_g,swap_carb_per_serving,carb_saving_per_serving,fiber_gain_per_serving,ada_rule,swap_group,source
53510100,"Danish pastry, with fruit","Doughnuts, sweet rolls, pastries",47.8,1.9,1 Toaster Strudel,53.0,25.3,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,25.1,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53510100,"Danish pastry, with fruit","Doughnuts, sweet rolls, pastries",47.8,1.9,1 Toaster Strudel,53.0,25.3,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,10.3,13.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53510100,"Danish pastry, with fruit","Doughnuts, sweet rolls, pastries",47.8,1.9,1 Toaster Strudel,53.0,25.3,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,24.7,-0.6,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53511000,"Danish pastry, with cheese","Doughnuts, sweet rolls, pastries",37.2,1.0,1 cubic inch,9.1,3.4,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,3.2,0.0,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53511000,"Danish pastry, with cheese","Doughnuts, sweet rolls, pastries",37.2,1.0,1 cubic inch,9.1,3.4,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,2.8,0.3,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520000,"Doughnut, NFS","Doughnuts, sweet rolls, pastries",49.5,1.8,1 doughnut,75.0,37.1,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,36.9,-1.2,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520000,"Doughnut, NFS","Doughnuts, sweet rolls, pastries",49.5,1.8,1 doughnut,75.0,37.1,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,22.1,13.5,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520000,"Doughnut, NFS","Doughnuts, sweet rolls, pastries",49.5,1.8,1 doughnut,75.0,37.1,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,36.6,-1.0,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520100,"Doughnut, cake type, plain","Doughnuts, sweet rolls, pastries",47.1,1.7,1 doughnut,60.0,28.2,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,28.0,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520100,"Doughnut, cake type, plain","Doughnuts, sweet rolls, pastries",47.1,1.7,1 doughnut,60.0,28.2,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,13.2,13.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520100,"Doughnut, cake type, plain","Doughnuts, sweet rolls, pastries",47.1,1.7,1 doughnut,60.0,28.2,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,27.6,-0.6,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520120,"Doughnut, chocolate","Doughnuts, sweet rolls, pastries",52.0,3.7,1 doughnut,75.0,39.0,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,38.7,-2.7,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520120,"Doughnut, chocolate","Doughnuts, sweet rolls, pastries",52.0,3.7,1 doughnut,75.0,39.0,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,23.9,12.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520120,"Doughnut, chocolate","Doughnuts, sweet rolls, pastries",52.0,3.7,1 doughnut,75.0,39.0,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,38.4,-2.4,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520130,"Doughnut, cake type, powdered sugar","Doughnuts, sweet rolls, pastries",51.1,1.6,1 doughnut,65.0,33.2,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,33.0,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520130,"Doughnut, cake type, powdered sugar","Doughnuts, sweet rolls, pastries",51.1,1.6,1 doughnut,65.0,33.2,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,18.2,13.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520130,"Doughnut, cake type, powdered sugar","Doughnuts, sweet rolls, pastries",51.1,1.6,1 doughnut,65.0,33.2,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,32.6,-0.7,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520135,"Doughnut, cake type, with icing","Doughnuts, sweet rolls, pastries",51.2,1.4,1 doughnut,75.0,38.4,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,38.2,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520135,"Doughnut, cake type, with icing","Doughnuts, sweet rolls, pastries",51.2,1.4,1 doughnut,75.0,38.4,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,23.4,13.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520135,"Doughnut, cake type, with icing","Doughnuts, sweet rolls, pastries",51.2,1.4,1 doughnut,75.0,38.4,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,37.8,-0.7,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520140,"Doughnut, cake type, chocolate icing","Doughnuts, sweet rolls, pastries",50.3,1.5,1 doughnut,75.0,37.7,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,37.5,-1.0,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520140,"Doughnut, cake type, chocolate icing","Doughnuts, sweet rolls, pastries",50.3,1.5,1 doughnut,75.0,37.7,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,22.7,13.7,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520140,"Doughnut, cake type, chocolate icing","Doughnuts, sweet rolls, pastries",50.3,1.5,1 doughnut,75.0,37.7,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,37.1,-0.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520160,"Doughnut, chocolate, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,3.9,1 doughnut,75.0,38.3,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,38.0,-2.8,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53520160,"Doughnut, chocolate, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,3.9,1 doughnut,75.0,38.3,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,23.2,11.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
