high_risk_food_code,high_risk_food_name,high_risk_category,high_risk_carb_per100g,high_risk_fiber_per100g,high_risk_portion,high_risk_portion_g,high_risk_carb_per_serving,swap_food_code,swap_food_name,swap_category,swap_carb_per100g,swap_fiber_per100g,swap_portion,swap_portion_g,swap_carb_per_serving,carb_saving_per_serving,fiber_gain_per_serving,ada_rule,swap_group,source
51000100,"Bread, NS as to major flour",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.4,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000100,"Bread, NS as to major flour",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.1,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000110,"Bread, NS as to major flour, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.5,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000110,"Bread, NS as to major flour, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.2,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000180,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000180,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000190,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000190,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000200,"Roll, NS as to major flour",Rolls and buns,50.1,1.8,Quantity not specified,43.0,21.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,19.1,0.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000200,"Roll, NS as to major flour",Rolls and buns,50.1,1.8,Quantity not specified,43.0,21.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,12.9,3.9,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000300,"Roll, hard, NS as to major flour",Rolls and buns,52.7,2.3,1 miniature/small roll,25.0,13.2,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,10.8,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000300,"Roll, hard, NS as to major flour",Rolls and buns,52.7,2.3,1 miniature/small roll,25.0,13.2,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,4.5,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000400,"Roll, bran, NS as to type of bran",Rolls and buns,44.6,3.8,Quantity not specified,36.0,16.1,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,13.6,0.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51000400,"Roll, bran, NS as to type of bran",Rolls and buns,44.6,3.8,Quantity not specified,36.0,16.1,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.4,3.3,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101000,"Bread, white",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.4,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101000,"Bread, white",Yeast breads,49.2,2.3,1 small or thin/very thin slice,24.0,11.8,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.1,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101010,"Bread, white, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.5,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101010,"Bread, white, toasted",Yeast breads,54.1,2.5,1 small or thin/very thin slice,22.0,11.9,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.2,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101050,"Bread, white, made from home recipe or purchased at a bakery",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101050,"Bread, white, made from home recipe or purchased at a bakery",Yeast breads,50.3,1.7,1 small or thin/very thin slice,33.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101060,"Bread, white, made from home recipe or purchased at a bakery, toasted",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51101060,"Bread, white, made from home recipe or purchased at a bakery, toasted",Yeast breads,55.2,1.9,1 small or thin/very thin slice,30.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51102010,"Bread, white with whole wheat swirl",Yeast breads,46.1,4.2,1 small or thin/very thin slice,24.0,11.1,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,8.7,0.5,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51102010,"Bread, white with whole wheat swirl",Yeast breads,46.1,4.2,1 small or thin/very thin slice,24.0,11.1,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.4,3.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51102020,"Bread, white with whole wheat swirl, toasted",Yeast breads,53.4,4.7,1 small or thin/very thin slice,22.0,11.7,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.3,0.5,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51102020,"Bread, white with whole wheat swirl, toasted",Yeast breads,53.4,4.7,1 small or thin/very thin slice,22.0,11.7,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.1,3.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51105010,"Bread, Cuban",Yeast breads,51.9,2.2,1 small or thin/very thin slice,10.0,5.2,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,2.8,1.3,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51105040,"Bread, Cuban, toasted",Yeast breads,57.0,2.4,1 small or thin/very thin slice,9.0,5.1,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,2.7,1.3,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106010,"Bread, native, water, Puerto Rican style",Yeast breads,52.2,1.8,1 slice,25.0,13.0,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,10.6,1.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106010,"Bread, native, water, Puerto Rican style",Yeast breads,52.2,1.8,1 slice,25.0,13.0,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,4.4,4.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106020,"Bread, native, water, toasted, Puerto Rican style",Yeast breads,57.3,2.0,1 slice,23.0,13.2,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,10.8,1.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106020,"Bread, native, water, toasted, Puerto Rican style",Yeast breads,57.3,2.0,1 slice,23.0,13.2,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,4.5,4.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106200,"Bread, lard, Puerto Rican style",Yeast breads,56.1,2.0,1 slice,25.0,14.0,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,11.6,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106200,"Bread, lard, Puerto Rican style",Yeast breads,56.1,2.0,1 slice,25.0,14.0,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,5.4,4.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106210,"Bread, lard, toasted, Puerto Rican style",Yeast breads,62.3,2.2,1 slice,23.0,14.3,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,11.9,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51106210,"Bread, lard, toasted, Puerto Rican style",Yeast breads,62.3,2.2,1 slice,23.0,14.3,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,5.7,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51107010,"Bread, French or Vienna",Yeast breads,51.9,2.2,1 small or thin/very thin slice,32.0,16.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.2,0.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51107010,"Bread, French or Vienna",Yeast breads,51.9,2.2,1 small or thin/very thin slice,32.0,16.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,3.9,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51107040,"Bread, French or Vienna, toasted",Yeast breads,57.0,2.4,1 small or thin/very thin slice,29.0,16.5,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,14.1,0.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51107040,"Bread, French or Vienna, toasted",Yeast breads,57.0,2.4,1 small or thin/very thin slice,29.0,16.5,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.9,4.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51108010,"Focaccia, Italian, plain",Yeast breads,35.8,1.8,1 slice,57.0,20.4,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,18.0,0.5,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51108010,"Focaccia, Italian, plain",Yeast breads,35.8,1.8,1 slice,57.0,20.4,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,11.8,3.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51108100,"Bread, naan",Yeast breads,50.2,5.2,"1 piece (1/4 of 10"" dia)",44.0,22.1,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,19.7,-0.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51108100,"Bread, naan",Yeast breads,50.2,5.2,"1 piece (1/4 of 10"" dia)",44.0,22.1,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,13.4,2.4,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109010,"Bread, Italian, Grecian, Armenian",Yeast breads,48.1,2.1,1 small or thin/very thin slice,24.0,11.5,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.1,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109010,"Bread, Italian, Grecian, Armenian",Yeast breads,48.1,2.1,1 small or thin/very thin slice,24.0,11.5,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109040,"Bread, Italian, Grecian, Armenian, toasted",Yeast breads,52.9,2.3,1 small or thin/very thin slice,22.0,11.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109040,"Bread, Italian, Grecian, Armenian, toasted",Yeast breads,52.9,2.3,1 small or thin/very thin slice,22.0,11.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,3.0,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109100,"Bread, pita",Yeast breads,55.7,2.2,1 small pita,28.0,15.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,13.2,0.9,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109100,"Bread, pita",Yeast breads,55.7,2.2,1 small pita,28.0,15.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,6.9,4.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109150,"Bread, pita with fruit",Yeast breads,59.5,2.6,Quantity not specified,57.0,33.9,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,31.5,0.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109150,"Bread, pita with fruit",Yeast breads,59.5,2.6,Quantity not specified,57.0,33.9,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,25.3,3.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51109150,"Bread, pita with fruit",Yeast breads,59.5,2.6,Quantity not specified,57.0,33.9,75111200,"Eggplant, raw",Other vegetables and combinations,5.9,3.0,1 whole,500.0,29.4,4.5,13.5,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51111010,"Bread, cheese",Yeast breads,44.8,2.1,1 small or thin/very thin slice,24.0,10.8,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,8.4,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51111010,"Bread, cheese",Yeast breads,44.8,2.1,1 small or thin/very thin slice,24.0,10.8,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.1,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51111040,"Bread, cheese, toasted",Yeast breads,49.3,2.3,1 small or thin/very thin slice,22.0,10.8,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,8.4,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51111040,"Bread, cheese, toasted",Yeast breads,49.3,2.3,1 small or thin/very thin slice,22.0,10.8,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.2,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51113010,"Bread, cinnamon",Yeast breads,44.4,3.5,1 small or thin/very thin slice,24.0,10.7,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,8.2,0.7,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51113010,"Bread, cinnamon",Yeast breads,44.4,3.5,1 small or thin/very thin slice,24.0,10.7,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.0,3.8,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51113100,"Bread, cinnamon, toasted",Yeast breads,54.1,2.5,Quantity not specified,25.0,13.5,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,11.1,0.9,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51113100,"Bread, cinnamon, toasted",Yeast breads,54.1,2.5,Quantity not specified,25.0,13.5,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,4.9,4.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51115010,"Bread, cornmeal and molasses",Yeast breads,55.2,1.6,Quantity not specified,32.0,17.7,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,15.3,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51115010,"Bread, cornmeal and molasses",Yeast breads,55.2,1.6,Quantity not specified,32.0,17.7,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,9.0,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51115020,"Bread, cornmeal and molasses, toasted",Yeast breads,60.7,1.8,Quantity not specified,29.0,17.6,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,15.2,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51115020,"Bread, cornmeal and molasses, toasted",Yeast breads,60.7,1.8,Quantity not specified,29.0,17.6,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,8.9,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51119010,"Bread, egg, Challah",Yeast breads,47.8,2.3,1 small or thin/very thin slice,24.0,11.5,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,9.1,1.0,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51119010,"Bread, egg, Challah",Yeast breads,47.8,2.3,1 small or thin/very thin slice,24.0,11.5,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,2.8,4.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51119040,"Bread, egg, Challah, toasted",Yeast breads,52.5,2.5,1 small or thin/very thin slice,18.0,9.5,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,7.0,1.1,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51119040,"Bread, egg, Challah, toasted",Yeast breads,52.5,2.5,1 small or thin/very thin slice,18.0,9.5,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,0.8,4.2,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51121015,"Garlic bread, NFS",Yeast breads,41.6,2.5,1 small slice,39.0,16.2,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,13.8,0.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51121015,"Garlic bread, NFS",Yeast breads,41.6,2.5,1 small slice,39.0,16.2,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,7.6,3.7,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51121025,"Garlic bread, from fast food / restaurant",Yeast breads,41.6,2.5,1 small slice,37.0,15.4,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,13.0,0.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51121025,"Garlic bread, from fast food / restaurant",Yeast breads,41.6,2.5,1 small slice,37.0,15.4,75330080,"Broccoli, cauliflower and carrots, cooked, no added fat",Other vegetables and combinations,5.6,3.0,1 cup,155.0,8.7,6.7,3.7,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
51121035,"Garlic bread, from frozen",Yeast breads,41.7,2.5,1 small slice,37.0,15.4,75124000,"Peppers, banana, raw",Other vegetables and combinations,5.3,3.4,1 whole,45.0,2.4,13.0,0.6,ADA recommends replacing refined grains with whole grains or non-starchy vegetables,refined_grains,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
